simucont_id_all, naive_alloc_Mha, min_alloc_Mha, opt_alloc_Mha, max_possible_alloc_Mha
   55828001,                    4.67635632,                    0.00000000,                    0.00000000,                    0.00000000
   55828002,                   64.28261639,                   45.94627796,                   45.94627796,                   45.94627795
   55829001,                    5.47443666,                    2.13330748,                    2.13330748,                    2.13330748
   55830001,                   13.04635860,                    5.62811155,                    5.68318883,                    5.68318883
   55830002,                    4.23585632,                    4.38677642,                    4.38677642,                    7.08225148
   55835001,                    0.00071356,                    0.00071356,                    0.00071356,                    1.16795431
   55837001,                    0.00022296,                    0.00022296,                    0.00022296,                    0.99990979
   55837002,                    0.00009824,                    0.00009824,                    0.00009824,                    0.36011331
   55843001,                    0.35254187,                    0.35254187,                    0.35254187,                    1.70934701
   55843002,                    0.35254187,                    0.35254187,                    0.35254187,                    1.70934701
   55843003,                    0.12870257,                    0.12870257,                    0.12870257,                    1.33090738
   55844001,                    0.70507106,                    0.70507106,                    0.70507106,                    3.41800000
   55846001,                    0.69596013,                    0.11384683,                    0.11384683,                    0.29351912
   55847001,                    1.46783397,                    1.75475186,                    1.75475186,                    8.53430766
   55847002,                    1.46781636,                    1.75473081,                    1.75473081,                    8.53420525
   55847003,                   28.87504577,                   33.22218432,                   33.22218432,                   85.20382704
   55847004,                    3.10124332,                    3.53857740,                    3.53857740,                    8.53430766
   55847005,                    4.04991814,                    4.57425997,                    4.57425997,                    8.53441007
   55848001,                    2.44382839,                    2.92152417,                    2.92152417,                   13.41985824
   55848002,                    1.70406282,                    1.93481549,                    1.93481549,                    3.20167556
   55851001,                   44.39102701,                    3.81222932,                    3.81336413,                    3.81336414
   55852001,                    8.56866714,                    0.00000000,                    0.00000000,                    0.00000000
   55852002,                    4.35085463,                    0.00000000,                    0.00000000,                    0.00000000
   55853001,                    9.30504437,                   12.77135305,                   14.59008754,                   14.59008754
   55853002,                   11.01405398,                   11.93374898,                   14.58991246,                   14.58991246
   55854001,                    4.73226508,                    5.00335199,                    7.26000000,                    7.26000000
   55856001,                    0.00976489,                    0.00976489,                    0.00976489,                    1.24630849
   55858001,                    0.00022057,                    0.00022057,                    0.00022057,                    0.03871433
   55860001,                    0.00090026,                    0.00090026,                    0.05587634,                    1.56641189
   55863001,                    0.00032830,                    0.00005723,                    0.00005723,                    0.00288393
   55864001,                    0.46550592,                    0.15327813,                    0.15327813,                    2.76052112
   55865001,                    0.49090631,                    0.55001383,                    0.55001383,                    3.23096852
   55866001,                    0.16540236,                    0.08922324,                    0.08922324,                    3.41865983
   55866002,                    0.02475166,                    0.02475166,                    0.02475166,                    0.37049480
   55867001,                    0.12076938,                    0.12076938,                    0.12076938,                    2.42605486
   55868001,                    3.80478153,                    4.29431594,                    4.29431594,                    7.16840429
   55869001,                   24.09008080,                   34.50134926,                   42.67508535,                   42.67508535
   55869002,                    1.56354234,                    1.44681133,                    1.44681133,                    3.71662504
   55870001,                    0.05950097,                    0.03968891,                    0.03968891,                    0.15469528
   55870002,                    0.03435105,                    0.01214052,                    0.01214052,                    0.01214052
   55870003,                    0.79268078,                    0.52874161,                    0.52874161,                    2.06087353
   55871001,                    0.01647648,                    0.00581945,                    0.00581945,                    0.00581945
   55871002,                    0.49394732,                    0.17446095,                    0.17446095,                    0.17446095
   55871003,                    2.56204759,                    1.19794882,                    1.70497954,                    1.70497954
   55871004,                    1.09393214,                    0.58544470,                    0.58544470,                    1.44461524
   55872001,                   16.84692185,                   18.83086020,                   18.84563221,                   18.84563221
   55872002,                   28.51203811,                   26.02489174,                   26.09199746,                   26.09199745
   55873001,                    3.65261702,                    4.07407006,                    6.82886030,                    6.82886030
   55874001,                    0.02713531,                    0.02713531,                    0.02713531,                    0.13736278
   55875001,                    0.10278559,                    0.10278559,                    0.10278559,                    0.52057881
   55875002,                    0.00791013,                    0.00791013,                    0.00791013,                    0.04006246
   55877003,                    0.08193993,                    0.08193993,                    0.08193993,                    0.14113746
   55877005,                    0.61065680,                    0.61065680,                    0.61065680,                    1.05312734
   55879001,                    0.00183093,                    0.00003635,                    0.00003635,                    0.00810793
